OBJECTID,Label,Direction,SHAPE_Length,Year,PDF
1,450(92),both,8.000000000625,1992,
2,650(92),both,8.00003959189395,1992,
3,370(87),both,7.99997242088486,1987,
4,450(87),both,7.99998815169706,1987,
5,280(87),both,7.99999589222754,1987,
6,100(81),both,17.5535885706574,1981,
7,200(82),both,7.99999105512687,1982,
8,280(82),both,7.99995219534535,1982,
9,900(92),both,8.000000000625,1992,
10,900(91),both,8.000000000625,1991,
11,890(90),both,8.00002664470871,1990,
12,840(91),both,8.00000289231308,1991,
13,670(91),both,8.00000587596322,1991,
14,430(91),both,8.00001635393069,1991,
15,900(91),both,8.00001635579305,1991,
16,409(91),both,8.00001635577681,1991,
17,360(91),both,7.99995619100608,1991,
18,910(91),both,7.99999810395612,1991,
19,420(91),both,8.00000363583452,1991,
20,250(91),both,7.99998614238006,1991,
21,600(92),both,7.99999845403123,1992,
22,633(92),both,7.99995027948398,1992,
23,650(92),both,8.00004112378712,1992,
24,370(81),both,7.99997890633984,1981,
25,480(81),both,7.99998312475061,1981,
26,510(81),both,8.00003507834911,1981,
27,740(84),both,8.00001937320344,1984,
28,840(81),both,7.99997086055483,1981,
29,790(89),both,29.0448374260291,1989,
30,480(89),both,30.6395475365211,1989,
31,620(87),both,8.0000378928131,1987,
32,530(81),both,7.99999734121757,1981,
33,890(81),both,7.99999734138084,1981,
34,260(89),both,8.00001420390024,1989,
35,5089(96),both,21.1048650442375,1996,
36,370(96),both,8.000000000625,1996,
37,700(96),both,7.9999918108064,1996,
38,350(96),both,8.0000265350968,1996,
39,665(96),both,8.0000265350968,1996,
40,1850(92),both,7.99998758076017,1992,
41,2450(92),both,8.00002725820078,1992,
42,2050(91),both,8.00001196572896,1991,
43,1030(91),both,8.000000000625,1991,
44,2610(92),both,7.99999661768951,1992,
45,4360(91),both,8.00004220269349,1991,
46,1090(91),both,7.99997005206407,1991,
47,1190(91),both,8.00001635577681,1991,
48,2440(89),both,8.00003954112507,1989,
49,1270(92),both,7.9999951312042,1992,
50,1130(92),both,7.99999908143966,1992,
51,2580(91),both,7.999981409999,1991,
52,2770(91),both,7.99999017584359,1991,
53,1070(81),both,7.99997257277363,1981,
54,5340(89),both,7.99996522582004,1989,
55,2970(92),both,7.99999972160624,1992,
56,3290(92),both,8.00000013988006,1992,
57,3100(92),both,8.00002388663875,1992,
58,3200(92),both,8.0000413372084,1992,
59,2670(92),both,7.99996935376537,1992,
60,1560(91),both,14.1666189761248,1991,
61,1810(92),one,15.5244171080265,1992,
62,3470(81),both,8.00004238079521,1981,
63,1130(92),both,8.00003034606828,1992,
64,3080(92),both,7.99995733252047,1992,
65,1940(82),both,8.00001025354956,1982,
66,2520(92),both,7.78467331710125,1992,
67,1960(87),both,8.00001224521494,1987,
68,1880(87),both,8.00001224521494,1987,
69,4520(89),both,8.00001224521494,1989,
70,1530(92),both,20.2513226057743,1992,
71,1260(81),both,7.99999411656267,1981,
72,1250(91),both,8.00000299025183,1991,
73,4110(81),both,7.99996226546543,1981,
74,2590(85),both,8.00000025820242,1985,
75,3222(97),both,8.00001196373312,1997,
76,2282(97),both,8.00001196556759,1997,
77,1905(97),both,8.00001196572896,1997,
78,4809(97),one,23.621515993127,1997,
79,3950(90),one,17.0572918257737,1990,
80,2456(97),one,27.4727682956333,1997,
81,2000(91),one,19.5270225570635,1991,
82,1370(93),one,18.0760614173425,1993,
83,4297(97),one,12.445000000298,1997,
84,4830(89),one,25.5537999998778,1989,
85,10597(97),one,22.5563452964134,1997,
86,9822(91),one,29.2834055501674,1991,
87,7700(92),one,28.6285562888407,1992,
88,8670(91),one,18.4455035125012,1991,
89,11240(89),one,24.5809878224597,1989,
90,13500(81),one,24.064604557286,1981,
91,7300(89),one,10.6286789406722,1989,
92,5520(89),one,19.9979462182064,1989,
93,6210(91),one,18.0634091813569,1991,
94,180(89),one,16.9338131275577,1989,
95,8630(89),one,19.6705514473464,1989,
96,7830(81),one,15.3703108923739,1981,
97,4500(92),one,19.9480604377026,1992,
98,8500(81),one,29.1527620403514,1981,
99,6240(89),one,28.5011051096588,1989,
100,9680(91),one,21.8115999996662,1991,
101,482(91),one,27.0734999999404,1991,
102,5500(80),one,23.633720898388,1980,
103,1840(92),one,15.9227756519069,1992,
104,9870(80),one,29.0701083047041,1980,
105,9300(92),one,19.9137171842066,1992,
106,9830(91),one,20.494495636702,1991,
107,6300(92),one,25.842699999921,1992,
108,5300(92),one,25.2501348998983,1992,
109,8830(92),one,16.2100498489102,1992,
110,8050(85),one,34.1380335932866,1985,
111,6640(92),one,46.5175672527537,1992,
112,7150(93),one,37.3385359375831,1993,
113,3750(91),one,17.6733085325358,1991,
114,1860(93),one,27.3864354622565,1993,
115,10310(89),one,33.6829719085865,1989,
116,3560(92),one,13.9954377671806,1992,
117,8960(89),one,32.7547546619537,1989,
118,9970(91),one,18.4435470115496,1991,
119,9000(92),one,20.3696362178623,1992,
120,6090(92),one,23.1388875933476,1992,
121,3940(92),one,25.7194370267899,1992,
122,14000(90),one,19.3944490566864,1990,
123,13950(89),one,18.0526871043246,1989,
124,2720(81),one,26.9150500772732,1981,
125,9770(90),one,11.1786119438124,1990,
126,7732(97),one,26.9240098141571,1997,
127,2500(91),one,18.4474037813399,1991,
128,1360(92),one,17.6845179081175,1992,
129,680(92),one,30.3748000003397,1992,
130,2770(91),one,30.4360495346852,1991,
131,820(89),one,20.1919050963138,1989,
132,2120(89),one,21.7696288734732,1989,
133,3270(90),one,24.4696760633585,1990,
134,1250(93),one,22.0101825391314,1993,
135,2090(93),one,22.5119751401209,1993,
136,100(91),one,32.5918333340707,1991,
137,100(91),one,29.2450839648534,1991,
138,5400(90),one,16.5622645388042,1990,
139,5580(83),one,28.0055784302594,1983,
140,350(89),one,22.4098605902476,1989,
141,4460(90),one,33.0423298764215,1990,
142,2740(90),one,19.045105645351,1990,
143,1800(90),one,19.0322508541258,1990,
144,6800(90),one,17.6242419630403,1990,
145,720(89),one,16.3068658777852,1989,
146,6230(90),one,25.9588139069134,1990,
147,10760(90),one,32.4013944634888,1990,
148,4340(92),one,34.7205907254176,1992,
149,3770(90),one,23.1476862304864,1990,
150,2100(89),one,17.2635761925328,1989,
151,750(93),one,19.3998040631053,1993,
152,2330(90),one,18.5735475608893,1990,
153,2120(92),one,19.8456818564335,1992,
154,1170(92),one,18.0451971072965,1992,
155,2720(92),one,19.3313916976273,1992,
156,3180(90),one,25.4920349109265,1990,
157,7460(85),one,28.4366839347717,1985,
158,1010(90),one,14.872678423895,1990,
159,330(90),one,21.3480401444644,1990,
160,3600(92),one,25.718375766259,1992,
161,4050(90),one,34.1796143192983,1990,
162,6590(90),one,28.3654007488506,1990,
163,6960(92),one,31.8858436619842,1992,
164,480(93),one,27.9674020159367,1993,
165,300(93),one,16.4530543470369,1993,
166,3290(91),one,20.3888288125304,1991,
167,5480(93),one,25.4306129842188,1993,
168,8430(93),one,31.6610016241161,1993,
169,5310(93),one,26.1364893084991,1993,
170,7920(85),one,16.8155477423929,1985,
171,6580(89),one,26.9825002041622,1989,
172,21530(90),one,14.4638267721667,1990,
173,8580(92),one,35.9438584018361,1992,
174,2370(82),one,40.7102820220494,1982,
175,17500(89),one,33.1786703950971,1989,
