full_id,osm_id,osm_type,healthcare,leisure,operator,check_date,shop,opening_hours,healthcare:speciality,fax,building,wikipedia,wikidata,wheelchair,website,toilets:wheelchair,phone,name,emergency,amenity,addr:street,addr:province,addr:housenumber,addr:city,office,instagram,opening_hours:signed,check_date:opening_hours,operator:type,internet_access,email,contact:facebook,payment:debit_cards,payment:credit_cards,payment:cash,dispensing,level,description,drive_through,addr:postcode,addr:unit,branch,name:en,website:fr,website:en,brand:wikipedia,brand:wikidata,brand,layer,path,longitude,latitude
w4766901,4766901,way,hospital,,,,,,,,,en:Royal Jubilee Hospital,Q7374361,yes,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/royal-jubilee-hospital-rjh,yes,+1-250-370-8000,Royal Jubilee Hospital,yes,hospital,Bay Street,BC,1952,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.32717759492911,48.432881653888764
w140578219,140578219,way,clinic,,,,,Mo-Fr 08:00-16:00,ophthalmology,+1 250 598-6237,yes,,,,https://victoriaeye.com/,,+1 250 598-5665,Victoria Eye,,clinic,Hillside Avenue,,1537,,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.33774656222704,48.44354066818978
w315417049,315417049,way,audiologist,,,,,"Mo-Fr 09:00-12:00,13:00-17:00",,,yes,,,,https://clinics.connecthearing.ca/bc/victoria/953-fort-street.html,,+1 250 385-3103,Connect Hearing,,clinic,Fort Street,,953,,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.35815372855022,48.42362580497954
w675606725,675606725,way,alternative,,,,massage,"Mo-Fr 09:00-19:00, Sa 09:00-14:00",chiropractic,+1 778 432-2929,yes,,,,https://wildwoodhealthandperformance.ca/,,+1 778 432-2727,Wildwood Health & Performance,,,Wildwood Avenue,,277,,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.33356136999338,48.41308904332325
w729439628,729439628,way,clinic,,,2025-03-06,,"Mo-Fr 07:30-19:30, Sa 09:00-14:00, Su off",chiropractic;acupuncture;physiotherapy,,yes,,,,,,,Rise Health,,clinic,Bay Street,BC,1275,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.34531053918121,48.4342856306277
w1032665845,1032665845,way,yes,,Island Health,,,,vaccination;community,,yes,,,,,,,Victoria Health Unit,,,Cook Street,BC,1947,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.35213947574182,48.431553912283206
w1032665846,1032665846,way,centre,,Island Health,,,,addiction;substance_use_services;mental_health,,yes,,,,,,,Sobering & Assessment Centre,,,Pembroke Street,BC,1125,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.35132407521073,48.43151828141498
w1032665847,1032665847,way,rehabilitation,,Island Health,,,,rehabiliation,,yes,,,,,,,Sobering & Assessment Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.35141920575826,48.431290944674764
w1032665848,1032665848,way,rehabilitation,,Island Health,,,,mental_health;substance_use;addiction,,yes,,,,,,,Victoria Mental Health & Substance Use,,,Pembroke Street,BC,1119,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.35132102791489,48.4310396407307
w1076459949,1076459949,way,physiotherapist,fitness_centre,,,,,,+1 778 265-3664,commercial,,,,https://www.arbutusphysiotherapy.ca/,,+1 778 265-3663,Arbutus Physiotherapy,,,Oak Bay Avenue,,1928,,,,,,,,,,,,,,,,,,,,,,,,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=healthcare:string(0,0)&field=leisure:string(0,0)&field=operator:string(0,0)&field=check_date:string(0,0)&field=shop:string(0,0)&field=opening_hours:string(0,0)&field=healthcare%3Aspeciality:string(0,0)&field=fax:string(0,0)&field=building:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=phone:string(0,0)&field=name:string(0,0)&field=emergency:string(0,0)&field=amenity:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Aprovince:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f47c3483-241a-43ea-8f3d-a1e950af5cf8}",-123.32470929024238,48.42662608861155
