a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,centroid_long,centroid_lat,area_sq_m
0.2062,0,DA,479,461,59170314,788,59170314,5917,5917040,9350110.0,59935,-123.3942823006933,48.429128080683256,8.593864304124627e-08
0.4053,0,DA,257,242,59170270,579,59170270,5917,5917030,9350100.0,59935,-123.32663239311654,48.411374026311194,1.8881051948980915e-08
0.3014,0,DA,212,209,59170205,518,59170205,5917,5917030,9350100.0,59935,-123.32562797663171,48.41328017538927,4.0515010379811214e-07
0.1806,0,DA,290,281,59170196,528,59170196,5917,5917030,9350101.0,59935,-123.322860440835,48.42500711413794,1.2831534135644982e-08
0.1557,0,DA,254,243,59170293,508,59170293,5917,5917034,9350002.0,59935,-123.35364661465722,48.40799642546363,1.893198115177514e-05
0.1483,0,DA,296,273,59170294,586,59170294,5917,5917034,9350001.0,59935,-123.34835381700455,48.40912606223716,1.806230302776011e-05
0.1274,0,DA,243,227,59170292,523,59170292,5917,5917034,9350002.0,59935,-123.3550522278373,48.410395066280316,1.546259845002828e-05
0.1206,0,DA,257,239,59170291,532,59170291,5917,5917034,9350002.0,59935,-123.35117934359056,48.41231539984309,1.4643315990344436e-05
0.1119,0,DA,357,337,59170290,614,59170290,5917,5917034,9350002.0,59935,-123.35555965563027,48.413375346900075,1.3622965954083664e-05
0.2333,0,DA,336,312,59170274,624,59170274,5917,5917034,9350001.0,59935,-123.3465468836054,48.41356391713133,2.8321052106120625e-05
0.0812,0,DA,409,388,59170288,631,59170288,5917,5917034,9350002.0,59935,-123.35199775097823,48.415319635064584,9.84475888379676e-06
0.0583,0,DA,384,371,59170286,573,59170286,5917,5917034,9350004.0,59935,-123.35783515928804,48.41645094103242,7.08803447899419e-06
0.0527,0,DA,362,344,59170287,535,59170287,5917,5917034,9350002.0,59935,-123.35406849609625,48.41662854627119,6.4188214630700055e-06
0.086,0,DA,353,337,59170289,563,59170289,5917,5917034,9350004.0,59935,-123.35259894901188,48.41827362390134,1.0433276133725203e-05
0.3641,0,DA,398,367,59170272,722,59170272,5917,5917034,9350001.0,59935,-123.33939638435106,48.40945497575538,4.422304556853473e-05
0.1879,0,DA,301,291,59170203,672,59170203,5917,5917034,9350001.0,59935,-123.33353691584533,48.41290415937099,2.280072929382225e-05
0.193,0,DA,268,248,59170273,585,59170273,5917,5917034,9350001.0,59935,-123.34154110267185,48.41417557751299,2.347609916369343e-05
0.3272,0,DA,337,324,59170204,768,59170204,5917,5917034,9350006.0,59935,-123.32695473904406,48.41503168044013,3.931855905353819e-05
0.1214,0,DA,139,134,59170202,469,59170202,5917,5917034,9350005.0,59935,-123.33417052083769,48.41567172896625,1.4839902062693747e-05
0.3104,0,DA,243,230,59170275,517,59170275,5917,5917034,9350005.0,59935,-123.34180370238379,48.41758391022531,3.767687902620169e-05
0.2416,0,DA,241,232,59170201,510,59170201,5917,5917034,9350005.0,59935,-123.33465854821493,48.41925785721494,2.932138599158208e-05
0.2779,0,DA,266,255,59170200,638,59170200,5917,5917034,9350006.0,59935,-123.32831010971749,48.41946526575574,3.312486404180168e-05
0.1415,0,DA,270,253,59170556,464,59170556,5917,5917034,9350005.0,59935,-123.34210177720828,48.42217152299826,1.7205659870036927e-05
0.1737,0,DA,251,238,59170197,581,59170197,5917,5917034,9350006.0,59935,-123.32623091521181,48.42269606910364,2.087368537037986e-05
0.1192,0,DA,269,259,59170276,514,59170276,5917,5917034,9350004.0,59935,-123.34944612169143,48.4187747158714,1.4465982598034867e-05
0.059,0,DA,443,416,59170285,628,59170285,5917,5917034,9350004.0,59935,-123.3567017025161,48.418582758913445,7.153760997428047e-06
0.1423,0,DA,614,552,59170611,1122,59170611,5917,5917034,9350004.0,59935,-123.36133021342685,48.41883125563907,1.7318488685999147e-05
0.0668,0,DA,395,365,59170280,613,59170280,5917,5917034,9350004.0,59935,-123.35403333978466,48.420247982331595,8.14481749272724e-06
0.1274,0,DA,210,202,59170277,406,59170277,5917,5917034,9350005.0,59935,-123.34549113132213,48.42094724669358,1.5496350611486694e-05
0.1096,0,DA,443,419,59170282,614,59170282,5917,5917034,9350004.0,59935,-123.35900049178657,48.42165431740505,1.3296116675635739e-05
0.0415,0,DA,330,312,59170279,453,59170279,5917,5917034,9350004.0,59935,-123.35286531506719,48.42187178252887,5.035387594746517e-06
0.0718,0,DA,658,617,59170281,889,59170281,5917,5917034,9350004.0,59935,-123.35584921292114,48.42208394646942,8.71685161803398e-06
0.0809,0,DA,374,349,59170278,534,59170278,5917,5917034,9350004.0,59935,-123.34968264765106,48.42222189396343,9.834236487809776e-06
0.0594,0,DA,347,336,59170165,527,59170165,5917,5917034,9350008.0,59935,-123.35173870929394,48.42400448955932,7.232912478573518e-06
0.1767,0,DA,350,341,59170558,656,59170558,5917,5917034,9350005.0,59935,-123.33670611234272,48.42319620542882,2.1452104095938565e-05
0.0869,0,DA,232,221,59170557,461,59170557,5917,5917034,9350005.0,59935,-123.33961794880183,48.42388784997082,1.0562844359098055e-05
