edge_id,from_node,to_node,length,geometry_wkt,full_id,osm_id,osm_type,highway,surface,source:maxspeed,sidewalk:both,oneway:bicycle:conditional,oneway:bicycle,oneway,name,motor_vehicle:conditional,maxspeed,lit,lanes,foot,bicycle,X,Y,FID,Rotation,Direction,Volume,Label,Year,Neighbourh,n,distance,feature_x,feature_y,nearest_x,nearest_y,cycleway:right,cycleway:left,sidewalk,ref,cycleway,busway,NHS,cycleway:both,parking:right,parking:left:orientation,parking:left,maxspeed:type,lane_markings,sidewalk:left,parking:both:orientation,parking:both,parking:right:orientation,cycleway:both:lane,sidewalk:right,oneway:bus,width,source:width,lanes:forward,lanes:backward,turn:lanes:both_ways,lanes:both_ways,parking:lane:left,parking:condition:left,smoothness,turn:lanes:forward,layer,bridge,parking:both:private,parking:both:access,railway,maxspeed:forward,maxspeed:backward,noname,junction,turn:lanes,construction,living_street,parking:both:maxstay:conditional,old_name,name:str-fonnapa,name:str,name:en,alt_name,cycleway:lane,bicycle_road,parking:right:maxstay,parking:right:access,access,parking:right:private,turn:lanes:backward,parking:lane:right,sidewalk:both:surface,cycleway:left:oneway,proposed:cycleway,geobase:acquisitionTechnique,attribution,motor_vehicle,horse,sidewalk:right:surface,sidewalk:left:surface,shoulder,construction:cycleway,cycleway:right:lane,source:cycleway,maxheight,parking:left:restriction,cycleway:oneway,cycleway:right:oneway,hgv,bridge:movable,hazard,shoulder:left,bus,service,parking:left:maxstay,parking:left:access,maxspeed:advisory
E0,N0,N1,112.80221931649778,"LINESTRING (-13733265.355817525 6177720.873239356, -13733263.59696957 6177730.70329669, -13733248.201483995 6177816.758719382, -13733247.767337978 6177821.187326037, -13733247.043761289 6177832.107877281)",w4288281,4288281,way,living_street,asphalt,sign,separate,yes @ (22:00 - 12:00),no,yes,Government Street,no @ (12:00 - 22:00),30,yes,2,yes,designated,-13733343.5629964,6177881.92501912,414.0,351.1861024157,Right,5210.0,5210(89),1989.0,Downtown,1.0,0.0009164945186444909,-123.3678572,48.4248743,-123.36872424704111,48.42517127075816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,N2,N1,213.10242252702912,"LINESTRING (-13733457.54891838 6177865.154791903, -13733450.391075121 6177864.215385454, -13733389.165355183 6177854.183873049, -13733356.982890395 6177849.755249253, -13733343.813794635 6177847.775789361, -13733334.095603092 6177846.484108153, -13733265.433741167 6177834.842211041, -13733265.0552549 6177834.775110815, -13733260.379836285 6177834.0202333145, -13733247.043761289 6177832.107877281)",w4288282,4288282,way,secondary,asphalt,sign,separate,,,yes,Fort Street,,40,yes,2,,,-13733343.5629964,6177881.92501912,414.0,351.1861024157,Right,5210.0,5210(89),1989.0,Downtown,1.0,0.00020278916977109707,-123.3687443746518,48.424969482932305,-123.36872424704111,48.42517127075816,no,separate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,N3,N4,291.1826943141019,"LINESTRING (-13733020.241430746 6178382.397635621, -13733021.766507769 6178372.147424013, -13733031.718470247 6178309.270781879, -13733039.744605534 6178257.718320673, -13733041.48118959 6178247.099189872, -13733042.616648396 6178240.539828164, -13733054.939716026 6178162.012414001, -13733063.578108512 6178106.2166177975, -13733065.192241129 6178094.708570558)",w4288288,4288288,way,living_street,asphalt,,,,,yes,Broad Street,,40,,,,,-13733093.6413676,6178104.79575253,401.0,81.0220273137,Left,5810.0,5810(93),1993.0,Downtown,1.0,0.0002624733338879595,-123.3662223634006,48.426445550394426,-123.36647916285128,48.42649983016167,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,N5,N6,67.14476460016058,"LINESTRING (-13733143.605690444 6180091.050323541, -13733152.322006572 6180113.954367235, -13733154.336889358 6180119.23992452, -13733167.483721217 6180153.805872007)",w4288291,4288291,way,primary,asphalt,sign,,,,,Douglas Street,,50,yes,6,,,-13733093.7214424,6180129.9927088,375.0,20.6832941399,Left,9390.0,9390(93),1993.0,Burnside,1.0,0.0005046503042546158,-123.366928,48.4383386,-123.36647988217544,48.43857068262515,,,both,1,share_busway,lane,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,N7,N8,98.19982282956967,"LINESTRING (-13732858.583266215 6177021.4752971055, -13732843.967017077 6177044.102719602, -13732823.33951543 6177076.1737133665, -13732815.213192604 6177087.915216144, -13732812.018323217 6177092.007972342, -13732803.446722426 6177102.642438201)",w4288293,4288293,way,primary,asphalt,sign,,,,,Blanshard Street,,50,,4,,,-13732887.3192327,6177016.47881726,602.0,54.4065545795,Left,4807.0,4807(16),2016.0,Downtown,1.0,0.00025985259024182593,-123.3643676,48.4200417,-123.36462573957897,48.42001191197519,,,both,17,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,N9,N10,291.5513844754328,"LINESTRING (-13728303.066876432 6178095.329266586, -13728297.512033843 6177857.60599301, -13728293.727171155 6177803.976163072)",w4289842,4289842,way,residential,asphalt,,,,,,Amphion Street,,,,,,,-13728373.6044995,6178132.14857971,619.0,0.0,Left,6494.0,6494(16),2016.0,South Jubilee,1.0,0.0006705853195191086,-123.3234447,48.4264434,-123.32407835024907,48.42666288128076,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,N11,N12,378.2246862080311,"LINESTRING (-13728425.70755944 6177717.702796659, -13728436.22725132 6178038.560930204, -13728436.36083471 6178047.435151714, -13728437.0844114 6178095.748655821)",w4289843,4289843,way,residential,asphalt,,,,,,Redfern Street,,,,,,,-13728464.6379593,6177919.46015657,589.0,92.2760015237,Both,549.0,549(15),2015.0,Gonzales,1.0,0.00028994153739121003,-123.32460652942355,48.42540933225842,-123.32489611773211,48.42539502468527,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,N13,N14,378.0855999603713,"LINESTRING (-13728566.994257152 6178095.949962661, -13728565.435784284 6178038.091217414, -13728565.391256485 6178037.135016455, -13728558.033038147 6177717.971193879)",w4289844,4289844,way,residential,asphalt,,,,,,Davie Street,,,,,,,-13728464.6379593,6177919.46015657,589.0,92.2760015237,Both,549.0,549(15),2015.0,Gonzales,1.0,0.0008801806305058064,-123.32577576765317,48.42536446394745,-123.32489611773211,48.42539502468527,,,both,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,N15,N16,378.215560495665,"LINESTRING (-13728697.98390197 6178096.28547407, -13728696.236185964 6178034.903881304, -13728687.230439158 6177718.222816281)",w4289845,4289845,way,residential,asphalt,,,,,,Chamberlain Street,,,,,,,-13728734.7921772,6177644.40134539,518.0,91.2728893877,Right,84.0,84(11),2011.0,Gonzales,1.0,0.000613361346617941,-123.3268957,48.4241954,-123.3273229543622,48.423755325175115,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,N17,N18,347.62534737132535,"LINESTRING (-13732243.587607378 6178525.851562903, -13732252.90504876 6178529.94500942, -13732258.894037366 6178533.535164948, -13732262.834747339 6178535.90064208, -13732280.067004515 6178543.634582534, -13732300.082248958 6178550.798130168, -13732325.273849724 6178556.049165395, -13732338.888223449 6178557.307401153, -13732365.872068016 6178559.79032026, -13732555.560480326 6178577.187550779, -13732568.406749565 6178580.056335694, -13732583.345825229 6178584.451785795)",w4290376,4290376,way,tertiary,asphalt,,,,,,Fisgard Street,,40,,2,,,-13732153.4486193,6178548.10109492,175.0,354.4233876989,Left,900.0,900(91),1991.0,North Park,1.0,0.0008205214520749246,-123.358843,48.4290097,-123.35803326769313,48.42914232369524,,,both,,,,,no,no,parallel,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
