node_id,x,y
N0,-13733265.355818,6177720.873239
N1,-13733247.043761,6177832.107877
N2,-13733457.548918,6177865.154792
N3,-13733020.241431,6178382.397636
N4,-13733065.192241,6178094.708571
N5,-13733143.60569,6180091.050324
N6,-13733167.483721,6180153.805872
N7,-13732858.583266,6177021.475297
N8,-13732803.446722,6177102.642438
N9,-13728303.066876,6178095.329267
N10,-13728293.727171,6177803.976163
N11,-13728425.707559,6177717.702797
N12,-13728437.084411,6178095.748656
N13,-13728566.994257,6178095.949963
N14,-13728558.033038,6177717.971194
N15,-13728697.983902,6178096.285474
N16,-13728687.230439,6177718.222816
N17,-13732243.587607,6178525.851563
N18,-13732583.345825,6178584.451786
N19,-13733172.660078,6179011.978856
N20,-13732879.633782,6179016.995292
N21,-13732885.121833,6179156.919812
N22,-13733174.151759,6179150.342972
N23,-13733178.359635,6179289.766343
N24,-13732971.962168,6179276.696354
N25,-13733182.756755,6179410.400437
N26,-13732891.489308,6179391.575366
N27,-13732937.464257,6179525.985944
N28,-13732797.357546,6179511.640437
N29,-13734279.409587,6179464.594057
N30,-13734199.660304,6179486.77495
N31,-13733024.616287,6179761.993966
N32,-13732816.671478,6179834.193659
N33,-13733191.161377,6180216.07527
N34,-13732916.40261,6180306.417884
N35,-13733311.275107,6180546.96144
N36,-13733732.842019,6180464.721125
N37,-13733412.776219,6180824.91642
N38,-13733225.681551,6180863.646921
N39,-13733458.628717,6180940.9742
N40,-13733253.066146,6181022.732452
N41,-13733526.277572,6181104.155858
N42,-13733364.352241,6181133.724897
N43,-13733914.827123,6181071.314543
N44,-13733689.638925,6181166.465762
N45,-13734053.475548,6181173.799331
N46,-13733619.084631,6181349.25306
N47,-13733721.198,6181600.331866
N48,-13734332.175026,6181373.402354
N49,-13731551.369618,6182044.139007
N50,-13732109.536677,6181951.965391
N51,-13732090.100293,6181087.710012
N52,-13732246.448518,6181930.73472
N53,-13732276.471385,6181053.794752
N54,-13732179.000039,6180559.613866
N55,-13732075.005371,6181957.671668
N56,-13731996.714373,6181518.24921
N57,-13731980.450595,6181839.737136
N58,-13731925.046884,6181532.329577
N59,-13731799.422839,6181556.059831
N60,-13731744.48667,6181952.133223
N61,-13731673.598419,6181580.209711
N62,-13730915.022881,6181697.68752
N63,-13730618.067007,6181685.100534
N64,-13731187.91148,6181673.184872
N65,-13730587.042265,6181770.491009
N66,-13729358.587156,6181344.084213
N67,-13729349.492354,6181349.655827
N68,-13729327.362039,6179856.123828
N69,-13728865.007666,6179843.489225
N70,-13729353.577779,6178983.373483
N71,-13728989.396065,6178956.244606
N72,-13729187.600418,6178844.810753
N73,-13729036.061196,6178667.345031
N74,-13729343.681476,6178434.303152
N75,-13729281.197846,6178423.59992
N76,-13728908.77849,6178097.107477
N77,-13728908.077177,6178422.00618
N78,-13728815.860111,6177718.843485
N79,-13728826.313011,6178026.650364
N80,-13728757.005496,6178421.284803
N81,-13728757.985108,6178096.168045
N82,-13728332.299375,6178721.19839
N83,-13728461.51904,6178721.819132
N84,-13730619.781327,6177736.1719
N85,-13730757.361086,6177771.885657
N86,-13731684.786027,6177720.588067
N87,-13732179.300601,6177799.39659
N88,-13728652.365175,6177718.155717
N89,-13728292.814351,6177706.329472
N90,-13728251.069542,6177718.776386
N91,-13728385.89971,6177530.447471
N92,-13728377.383768,6177149.038386
N93,-13728471.548926,6177149.189349
N94,-13728478.985068,6177717.803446
N95,-13729557.492822,6181226.896568
N96,-13729562.524463,6181003.551412
N97,-13729679.832943,6181152.637724
N98,-13729669.9923,6181004.94426
N99,-13730034.15175,6180380.770036
N100,-13730128.628602,6180881.619409
N101,-13730368.121354,6180544.477942
N102,-13730031.301971,6180535.517218
N103,-13731550.679437,6179787.632086
N104,-13731610.669511,6180061.048636
N105,-13732439.821606,6180242.503406
N106,-13732467.26186,6180384.545552
N107,-13733390.857411,6181253.965546
N108,-13733049.507325,6180895.111387
N109,-13732873.077064,6179983.561546
N110,-13732907.574974,6180074.623212
N111,-13733194.667941,6179994.501647
N112,-13733194.200399,6179961.865958
N113,-13733925.936808,6175382.228807
N114,-13733518.629923,6175946.481932
N115,-13729797.308401,6178110.964111
N116,-13729940.454135,6178111.786116
N117,-13732304.546161,6175808.740014
N118,-13732295.584942,6176307.459161
N119,-13730041.376385,6178896.517758
N120,-13730287.359064,6178269.377571
N121,-13730286.746807,6177858.176346
N122,-13729178.060338,6178097.107477
N123,-13729174.030572,6177911.756192
N124,-13731426.524809,6177452.09434
N125,-13732041.609523,6177553.21044
N126,-13730555.015647,6177728.220619
N127,-13730136.521154,6177919.254713
N128,-13729654.730398,6179368.70682
N129,-13729663.903124,6179136.534981
N130,-13730766.044006,6177617.306054
N131,-13728791.648122,6178810.568875
N132,-13728783.031993,6178420.747964
N133,-13730557.954482,6178154.39625
N134,-13730558.28844,6178124.73689
N135,-13730967.766055,6177934.973111
N136,-13730978.519518,6177783.426818
N137,-13728342.529636,6178095.463471
N138,-13728340.83758,6178420.999607
N139,-13728606.223246,6178421.200921
N140,-13728606.479281,6178096.067392
N141,-13728941.740191,6178096.587434
N142,-13728928.749206,6177717.451174
N143,-13732433.309416,6181901.028651
N144,-13732346.970018,6181452.194308
N145,-13731991.070474,6174976.700697
N146,-13731955.626349,6175209.782254
N147,-13731806.914641,6175344.294626
N148,-13731871.79164,6174939.321709
N149,-13731328.00706,6177523.049938
N150,-13731633.05586,6175636.955666
N151,-13731626.643857,6174825.123124
N152,-13731548.041165,6175301.581142
N153,-13731308.403697,6175906.398519
N154,-13731501.598673,6174747.381761
N155,-13731321.27223,6175027.948243
N156,-13731098.889284,6174990.451644
N157,-13731168.230194,6175960.184129
N158,-13731009.65558,6175931.840563
N159,-13732007.367648,6176020.678671
N160,-13731181.043068,6175886.809707
N161,-13731190.950502,6175825.091824
N162,-13731038.49846,6175797.184754
N163,-13731210.910087,6175700.231876
N164,-13731027.088212,6175668.132516
N165,-13732079.547206,6175709.824812
N166,-13735080.420115,6177339.958859
N167,-13735139.285862,6177279.035608
N168,-13732104.605223,6175392.492195
N169,-13731283.546055,6175258.800792
N170,-13731918.022625,6176329.329944
N171,-13731155.038835,6176204.261351
N172,-13732103.380709,6177146.371367
N173,-13731409.581982,6177029.157544
N174,-13729990.603565,6177002.085204
N175,-13729291.261128,6178099.036668
N176,-13732526.461565,6179886.510713
N177,-13732219.509202,6179948.358678
N178,-13731480.15854,6180093.013525
N179,-13731206.991641,6179745.416479
N180,-13731046.569123,6179741.574131
N181,-13730848.921367,6179460.869283
N182,-13730843.422184,6179738.604283
N183,-13730555.227154,6179438.537453
N184,-13730533.976264,6180387.247144
N185,-13730386.299827,6180386.424921
N186,-13730398.155353,6179737.496882
N187,-13731025.908225,6179333.540047
N188,-13730995.696116,6179473.88922
N189,-13729857.921864,6179384.109106
N190,-13729844.463338,6180047.071376
N191,-13729973.115273,6178895.477575
N192,-13729956.740176,6179389.696217
N193,-13730106.720926,6180381.105637
N194,-13730115.292527,6180062.927934
N195,-13730255.454898,6179413.034609
N196,-13730238.178113,6180383.186366
N197,-13731368.61641,6179516.455827
N198,-13731322.875231,6180117.075363
N199,-13731636.439973,6179539.207321
N200,-13731731.80738,6180043.27923
N201,-13731858.477829,6180020.710964
N202,-13731768.231118,6179547.428746
N203,-13731180.709109,6180149.996899
N204,-13731003.711119,6180408.339731
N205,-13730751.583604,6180201.443347
N206,-13731010.991414,6180275.475766
N207,-13731303.44998,6178194.372801
N208,-13731253.768091,6178739.099255
N209,-13731616.925666,6178313.666092
N210,-13731293.308774,6178283.720987
N211,-13731605.559946,6178439.839311
N212,-13731282.744555,6178411.05132
N213,-13731276.566323,6178470.154043
N214,-13731145.58781,6178458.528071
N215,-13731597.377963,6178536.655582
N216,-13731272.447502,6178505.652782
N217,-13731912.334199,6178645.283706
N218,-13731590.409363,6178616.327255
N219,-13731245.975727,6178813.957825
N220,-13730813.621956,6178778.625572
N221,-13729358.364517,6178872.727799
N222,-13730382.425909,6178910.342138
N223,-13731193.844809,6179349.02616
N224,-13731182.612673,6179496.976167
N225,-13732158.005183,6179493.821842
N226,-13731188.623925,6179408.689066
N227,-13731339.71787,6179275.538679
N228,-13732171.196543,6179348.673822
N229,-13730967.053611,6179238.811954
N230,-13731196.405157,6179259.197028
N231,-13731214.049297,6179132.139247
N232,-13730975.4471,6179110.613601
N233,-13730489.548655,6179289.430784
N234,-13730969.324528,6179174.486038
N235,-13730988.861099,6178953.660908
N236,-13730493.032955,6179155.728598
N237,-13730864.383644,6178940.004231
N238,-13730845.403671,6179167.825296
N239,-13730854.453946,6179051.942652
N240,-13730712.054053,6179038.520701
N241,-13730904.16923,6178478.40799
N242,-13730919.208493,6178328.747728
N243,-13730025.613545,6178461.832999
N244,-13730732.058166,6178465.423126
N245,-13731459.252739,6178202.945221
N246,-13731442.265385,6178366.695189
N247,-13731197.150998,6178659.594201
N248,-13731259.712552,6178665.986118
N249,-13730403.832647,6178301.570606
N250,-13731116.900777,6178882.794064
N251,-13731239.374481,6178891.132296
N252,-13731987.986925,6179996.515164
N253,-13731908.538204,6179559.039425
N254,-13731733.165478,6180643.063298
N255,-13731781.467005,6180901.823821
N256,-13728471.259495,6178423.381829
N257,-13728469.868001,6178095.899636
N258,-13734595.056003,6179360.11645
N259,-13734625.234717,6179349.646948
N260,-13735830.346129,6180926.273908
N261,-13735771.402458,6181026.843879
N262,-13734868.055922,6181769.886828
N263,-13734566.101804,6181543.456272
N264,-13734249.831998,6181478.676624
N265,-13734074.982474,6181352.978659
N266,-13734153.095361,6181245.356494
N267,-13734020.24668,6181448.418319
N268,-13734057.961724,6181543.103842
N269,-13733940.79796,6181221.559978
N270,-13734039.516084,6181400.538926
N271,-13734269.14593,6180620.292077
N272,-13734234.046894,6180676.456725
N273,-13734309.833204,6180590.708039
N274,-13734441.891516,6180399.949674
N275,-13734228.93733,6180284.956392
N276,-13734469.654597,6180344.290249
N277,-13734441.568689,6180362.077062
N278,-13734270.192333,6180600.99448
N279,-13734233.067283,6180527.429083
N280,-13734028.039045,6180577.568933
N281,-13733205.510459,6180258.142189
N282,-13733207.380627,6180167.313477
N283,-13733172.15914,6180063.448096
N284,-13735723.045271,6181017.815523
N285,-13735605.992827,6180998.500245
N286,-13733463.882997,6179980.339924
N287,-13734065.954463,6179808.337273
N288,-13733817.48936,6179735.634435
N289,-13733425.678148,6179848.757835
N290,-13733891.483425,6179997.57226
N291,-13733502.800291,6180111.873704
N292,-13734027.771878,6179674.492718
N293,-13733560.096433,6179809.629251
N294,-13733530.429789,6179696.019787
N295,-13733377.933219,6179684.190799
N296,-13733540.648918,6180245.523769
N297,-13733837.181778,6180178.320932
N298,-13733857.720224,6180479.454181
N299,-13733859.423412,6180382.985005
N300,-13734312.471476,6180627.843323
N301,-13734486.029694,6180387.280705
N302,-13734536.112333,6180414.581938
N303,-13734355.27382,6180652.645017
N304,-13734073.824751,6180892.241822
N305,-13734382.435776,6181115.68475
N306,-13734836.496847,6181745.652496
N307,-13734673.825675,6181972.64227
N308,-13731177.358393,6180507.544385
N309,-13731231.7157,6180725.473142
N310,-13731117.279263,6180925.535538
N311,-13731054.840161,6180948.609636
N312,-13730384.630035,6180572.60192
N313,-13729888.634912,6180869.855899
N314,-13729854.137001,6180378.303367
N315,-13729682.749513,6180455.676584
N316,-13730027.650692,6180709.716036
N317,-13729789.226606,6180706.880096
N318,-13730176.874469,6180537.782569
N319,-13730029.788026,6180626.114926
N320,-13730331.719881,6178246.61269
N321,-13729608.666392,6178637.918759
N322,-13731603.489403,6178464.265562
N323,-13731926.583093,6178495.50308
N324,-13732515.296221,6179239.768289
N325,-13732183.553006,6179209.148821
N326,-13731885.717708,6178922.203607
N327,-13732206.640668,6178948.594177
N328,-13732333.667339,6180414.112094
N329,-13732577.60174,6180371.188623
N330,-13732557.84253,6181094.858917
N331,-13732440.790085,6181117.547498
N332,-13728357.468712,6179003.74117
N333,-13728349.06409,6179256.999129
N334,-13731212.234789,6174623.510178
N335,-13731210.631788,6174422.153523
N336,-13730435.625494,6178150.135227
N337,-13730454.438487,6178184.357676
N338,-13730521.096599,6178160.485825
