node_id,x,y,longitude,latitude,nearest_DAUID,nearest_Population_Density_Demand,nearest_Commute_PT_Demand,nearest_Bus_Stop_Proximity,nearest_Route_Coverage_Percent,nearest_Bus_Stop_Density,nearest_Income_Demand,nearest_Overall_Demand,nearest_Employment_Demand,nearest_Commute_Duration_Demand,nearest_Overall_Accessibility,nearest_demand_dist,nearest_school_dist,schools_within_0.5km,schools_within_1.0km,schools_within_2.0km,nearest_healthcare_dist,healthcare_within_0.5km,healthcare_within_1.0km,healthcare_within_2.0km,nearest_pop_dist,population_within_0.5km,population_within_1.0km,population_within_2.0km,route_connections,bus_stop_density_per_km2,ridership_proxy
N0,-13733265.355818,6177720.873239,-123.36802170000426,48.42421119999788,2021S051259170811,1,3,5,4,2,5,16,3,3,11,0.05176824474173659,0.7899431910340937,0,1,4,0.04197993942346312,7,20,37,0.40471316388156475,2956,19986,57643,4,92.94648676566688,40.80133397863008
N1,-13733247.043761,6177832.107877,-123.36785719999742,48.424874299998336,2021S051259170811,1,3,5,4,2,5,16,3,3,11,0.041226747041795006,0.8024181054166101,0,1,4,0.07171365985975087,7,20,38,0.4257267176134934,2956,19081,57019,4,94.21972631040204,41.63478449031919
N2,-13733457.548918,6177865.154792,-123.3697481999966,48.42507130000057,2021S051259170811,1,3,5,4,2,5,16,3,3,11,0.1715853495926146,0.9410559092223233,0,1,4,0.06333161446207136,7,18,37,0.511077929118382,666,18018,56838,3,92.62817687948309,32.38219450594927
N3,-13733020.241431,6178382.397636,-123.36581980000227,48.428154600002266,2021S051259170809,3,1,5,1,1,5,16,4,3,7,0.11850423634465376,0.8890360647511332,0,1,4,0.15505126957207854,10,20,41,0.11984400487376881,5219,13916,60419,3,107.27043164393746,34.149898392771846
N4,-13733065.192241,6178094.708571,-123.36622359999883,48.42643970000264,2021S051259170809,3,1,5,1,1,5,16,4,3,7,0.2142436572341694,0.7819186274724664,0,1,4,0.1046436468549747,12,20,38,0.21484997556585436,4335,15430,59808,4,99.63099437552648,28.1834012830622
N5,-13733143.60569,6180091.050324,-123.36692799999601,48.43833860000274,2021S051259170150,2,5,5,2,3,4,24,2,5,11,0.14491798449445123,0.9774273057418236,0,1,4,0.24588350265969844,1,4,37,0.14586475120562672,2595,11206,57975,5,106.63381187156988,73.61578686571218
N6,-13733167.483721,6180153.805872,-123.36714249999801,48.43871259999995,2021S051259170150,2,5,5,2,3,4,24,2,5,11,0.16652468719387886,0.949142334066644,0,1,4,0.263074176356381,1,5,37,0.16764332752439823,3721,10789,55898,2,106.63381187156988,71.48317244033511
N7,-13732858.583266,6177021.475297,-123.36436759999806,48.42004169999937,2021S051259170814,3,3,5,5,1,3,15,1,1,12,0.25768848948312156,0.5441921638929585,0,1,4,0.3968153449408792,2,22,37,0.25769490230336284,4799,19295,52120,3,93.26479665185067,25.775540850728973
N8,-13732803.446722,6177102.642438,-123.36387229999617,48.4205255999988,2021S051259170814,3,3,5,5,1,3,15,1,1,12,0.19700437617957026,0.4885372087087372,1,1,4,0.36026646426937814,3,24,38,0.19685481806553792,3239,18682,53414,4,97.72113505842374,29.18729950180842
N9,-13728303.066876,6178095.329267,-123.32344469999612,48.42644340000246,2021S051259170198,3,3,4,5,5,3,18,2,2,7,0.2585740932009222,0.8160704684717043,0,1,4,0.09573172695435507,3,11,18,0.25851338975202465,2863,6932,27386,3,53.47606087887684,37.32304184157804
N10,-13728293.727171,6177803.976163,-123.3233607999986,48.42470659999957,2021S051259170198,3,3,4,5,5,3,18,2,2,7,0.24339140709506818,0.666349368028423,0,1,3,0.23553160328438832,2,11,18,0.24272118267025813,2339,6378,25935,1,54.43099053742821,38.285795102214315
N11,-13728425.707559,6177717.702797,-123.32454639999605,48.424192300002034,2021S051259170198,3,3,4,5,5,3,18,2,2,7,0.19289558925573827,0.5656366749440803,0,1,3,0.2707957984196909,2,11,18,0.192045012477723,1807,7544,28227,1,60.16056848873644,41.66409461419459
N12,-13728437.084411,6178095.748656,-123.32464859999642,48.42644590000106,2021S051259170198,3,3,4,5,5,3,18,2,2,7,0.1855048044008296,0.7716644451497446,0,1,4,0.02052591628146159,3,11,18,0.18565063349551245,3453,8867,27979,1,58.569019057817485,42.1827009801522
N13,-13728566.994257,6178095.949963,-123.32581559999859,48.42644710000202,2021S051259170198,3,3,4,5,5,3,18,2,2,7,0.1344153048159739,0.7362608829183904,0,1,4,0.08422724900283309,5,13,22,0.13492327980754057,3453,9459,30613,3,63.34366735057434,45.952422664938005
